x,y,z
28,23,50.94395766
27,24,50.94476539
26,25,50.94820877
25,26,50.95685514
24,27,50.970647
23,28,50.987493
35,17,52.024004
34,18,51.998519
33,19,51.981602
32,20,51.96321365
31,21,51.95649617
30,22,51.94688351
29,23,51.94477364
28,24,51.94050471
27,25,51.94555909
26,26,51.94811336
25,27,51.96313022
24,28,51.975781
23,29,51.997982
35,18,53.00729
34,19,52.9868
33,20,52.968451
32,21,52.95837917
31,22,52.94967071
30,23,52.94433494
29,24,52.9406463
28,25,52.9412875
27,26,52.94530563
26,27,52.95420328
25,28,52.96819
24,29,52.985894
36,18,54.013484
35,19,53.994471
34,20,53.972989
33,21,53.96302936
32,22,53.950892
31,23,53.94643201
30,24,53.93887736
29,25,53.94035577
28,26,53.93960819
27,27,53.94845908
26,28,53.957833
25,29,53.977198
24,30,53.993879
36,19,55.000505
35,20,54.979978
34,21,54.96688964
33,22,54.955091
32,23,54.947262
31,24,54.94083664
30,25,54.93804304
29,26,54.93829116
28,27,54.94199642
27,28,54.95132985
26,29,54.966038
25,30,54.984681
37,19,56.008567
36,20,55.985496
35,21,55.97260761
34,22,55.95767768
33,23,55.95042008
32,24,55.94064898
31,25,55.93890282
30,26,55.93493554
29,27,55.93983803
28,28,55.94212776
27,29,55.95852928
26,30,55.972743
25,31,55.995878
38,19,57.015169
37,20,56.992958
36,21,56.977048
35,22,56.9630681
34,23,56.952297
33,24,56.94361211
32,25,56.93828594
31,26,56.93539195
30,27,56.93628982
29,28,56.93979139
28,29,56.94921169
27,30,56.965056
26,31,56.983457
39,19,58.023543
38,20,57.998357
37,21,57.983382
36,22,57.96680852
35,23,57.95659599
34,24,57.9441845
33,25,57.94006664
32,26,57.93327358
31,27,57.93575129
30,28,57.93534165
29,29,57.94453228
28,30,57.9545903
27,31,57.974729
26,32,57.991863
40,19,59.030864
39,20,59.006237
38,21,58.988374
37,22,58.972217
36,23,58.95962334
35,24,58.94834543
34,25,58.94039111
33,26,58.93487349
32,27,58.93319352
31,28,58.93434544
30,29,58.93949671
29,30,58.94931189
28,31,58.963757
27,32,58.982426
40,20,60.011809
39,21,59.995115
38,22,59.976275
37,23,59.96447922
36,24,59.94964166
35,25,59.94313657
34,26,59.93407025
33,27,59.93381554
32,28,59.93078513
31,29,59.93736379
30,30,59.94184132
29,31,59.957498
28,32,59.970445
27,33,59.993945
41,20,61.020408
40,21,61.000537
39,22,60.982426
38,23,60.96760353
37,24,60.95437813
36,25,60.94445254
35,26,60.93674624
34,27,60.93247603
